paper,topic,year,marks,question_text
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2025,10,Discuss the salient features of the Harappan architecture.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2025,10,Examine the main aspects of Akbar’s religious syncretism.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2025,10,‘The sculptors filled the Chandella artform with resilient vigor and breadth of life.’ Elucidate.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2024,10,Underline the changes in the field of society and economy from the Rig Vedic to the later Vedic period.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2024,10,Estimate the contribution of Pallavas of Kanchi for the development of art and literature of South India.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2024,10,What were the events that led to Quit India Movement? Point out its results.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2023,10,Explain the role of geographical factors towards the development of Ancient India.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2023,15,What are the main features of Vedic society and religion? Do you think some of the features are still prevailing in Indian society?
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2023,15,What were the major technological changes introduced during the Sultanate period? How did those technological changes influence the Indian society?
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2022,10,How will you explain the medieval Indian temple sculptures represent the social life of those days?
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2022,15,Discuss the main contributions of Gupta period and Chola period to Indian heritage and culture.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2022,15,"Discuss the significance of the lion and bull figures in Indian mythology, art and architecture."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2021,,Evaluate the nature of the Bhakti Literature and its contribution to Indian culture.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2020,,Indian Philosophy and tradition played a significant role in conceiving and shaping the monuments and their art in India. Discuss.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2020,,Persian literary sources of medieval India reflect the spirit of the age. Comment
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2020,,The rock-cut architecture represents one of the most important sources of our knowledge of early Indian art and history. Discuss.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2020,,Pala period is the most significant phase in the history of Buddhism in India. Enumerate.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2019,,Highlight the Central Asian and Greco -Bactrian elements in Gandhara art.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2018,,Safeguarding the Indian art heritage is the need of the moment. Discuss
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2018,,Assess the importance of the accounts of the Chinese and Arab travelers in the reconstruction of the history of India.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2018,,The Bhakti movement received a remarkable re-orientation with the advent of Sri Chaitanya Mahaprabhu. Discuss.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2017,,How do you justify the view that the level of excellence of Gupta numismatic art is not at all noticeable in later times?
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2016,,"Early Buddhist Stupa-art, while depicting folk motifs and narratives successfully expounds Buddhist ideals. Elucidate."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2016,,"Krishnadeva Raya, the King of Vijayanagar, was not only an accomplished scholar himself but was also a great patron of learning and literature. Discuss."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2015,,"The ancient civilization in Indian sub-continent differed from those of Egypt, Mesopotamia and Greece in that its culture and traditions have been preserved without a breakdown to the present day. Comment."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2015,,Mesolithic rock cut architecture of India not only reflects the cultural life of the times but also a tine aesthetic sense comparable to modem painting. Critically evaluate this comment.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2014,,To what extent has the urban planning and culture of the Indus Valley Civilization provided inputs to the present-day urbanization? Discuss.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2014,,Gandhara sculpture owed as much to the Romans as to the Greeks. Explain.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2014,,"Taxila university was one of the oldest universities of the world with which were associated a number of renowned learned personalities of different disciplines. Its strategic location caused its fame to flourish, but unlike Nalanda, it is not considered as a university in the modern sense. Discuss."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2014,,Sufis and medieval mystic saints failed to modify either the religious ideas and practices or the outward structure of Hindu / Muslim societies to any appreciable extent. Comment.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2013,,"Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment."
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2013,,Discuss the Tandava dance as recorded in the early Indian inscriptions.
GS1,"INDIAN CULTURE WILL COVER THE SALIENT ASPECTS OF ART FORMS, LITERATURE AND ARCHITECTURE FROM ANCIENT TO MODERN TIMES.",2013,,Chola architecture represents a high watermark in the evolution of temple architecture. Discuss.
